,genre
0, криминал
1, комедия
2, мультфильм
3, комедия
4, мультфильм
5, аниме
6, драма
7, военный
8, фэнтези
9, мультфильм
10, комедия
11, комедия
12, комедия
13, детектив
14, драма
15, мультфильм
16, криминал
17, мультфильм
18, драма
19, аниме
20, драма
21, драма
22, драма
23, мультфильм
24, драма
25, драма
26, аниме
27, мультфильм
28, комедия
29, комедия
30, детектив
31, мультфильм
32, аниме
33, драма
34, аниме
35, мультфильм
36, мультфильм
37, аниме
38, драма
39, фэнтези
40, мультфильм
41, мультфильм
42, драма
43, аниме
44, фантастика
45, мультфильм
46, мультфильм
47, военный
48, фантастика
49, драма
50, драма
51, драма
52, аниме
53, аниме
54, драма
55, мультфильм
56, мелодрама
57, комедия
58, мультфильм
59, мультфильм
60, детектив
61, аниме
62, драма
63, триллер
64, аниме
65, аниме
66, драма
67, фантастика
68, комедия
69, фантастика
70, аниме
71, фэнтези
72, триллер
73, драма
74, мультфильм
75, драма
76, драма
77, мелодрама
78, мультфильм
79, драма
80, драма
81, мультфильм
82, аниме
83, драма
84, ужасы
85, военный
86, драма
87, триллер
88, история
89, аниме
90, мелодрама
91, аниме
92, драма
93, триллер
94, драма
95, мультфильм
96, триллер
97, боевик
98, драма
99, комедия
100, драма
101, фантастика
102, драма
103, комедия
104, комедия
105, аниме
106, мультфильм
107, детектив
108, драма
109, аниме
110, драма
111, драма
112, аниме
113, фэнтези
114, боевик
115, драма
116, триллер
117, драма
118, аниме
119, триллер
120, боевик
121, мелодрама
122, мультфильм
123, мультфильм
124, аниме
125, боевик
126, комедия
127, биография
128, фэнтези
129, триллер
130, история
131, триллер
132, комедия
133, фантастика
134, драма
135, драма
136, триллер
137, фантастика
138, биография
139, драма
140, мультфильм
141, мюзикл
142, аниме
143, боевик
144, мультфильм
145, триллер
146, детектив
147, драма
148, драма
149, триллер
150, драма
151, драма
152, аниме
153, аниме
154, аниме
155, приключения
156, комедия
157, мультфильм
158, мелодрама
159, комедия
160, аниме
161, комедия
162, мюзикл
163, криминал
164, драма
165, фэнтези
166, триллер
167, аниме
168, триллер
169, аниме
170, драма
171, комедия
172, драма
173, драма
174, детектив
175, мультфильм
176, фантастика
177, мелодрама
178, мелодрама
179, фантастика
180, драма
181, мелодрама
182, комедия
183, фэнтези
184, мелодрама
185, военный
186, триллер
187, аниме
188, комедия
189, драма
190, аниме
191, аниме
192, драма
193, драма
194, боевик
195, триллер
196, фэнтези
197, военный
198, драма
199, детектив
200, драма
201, мультфильм
202, аниме
203, фантастика
204, комедия
205, фантастика
206, мелодрама
207, драма
208, аниме
209, мультфильм
210, драма
211, мелодрама
212, комедия
213, триллер
214, мелодрама
215, фантастика
216, биография
217, драма
218, фантастика
219, мультфильм
220, драма
221, драма
222, мелодрама
223, фантастика
224, драма
225, драма
226, мелодрама
227, боевик
228, драма
229, аниме
230, драма
231, драма
232, драма
233, драма
234, аниме
235, фантастика
236, мультфильм
237, аниме
238, драма
239, детектив
240, боевик
241, мелодрама
242, мелодрама
243, боевик
244, мелодрама
245, аниме
246, драма
247, драма
248, триллер
249, драма
